id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
696,gandu kya karta hai,1,0,1,0,1,0
697,aaj khup sundar divas ahe,0,0,0,0,0,0
698,chutiya kya karta hai,1,0,1,0,1,0
699,tu maza best friend dista ahes,0,0,0,0,0,0
700,pagal kya karta hai,1,0,0,0,1,0
701,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
702,abe harami kya karta hai,1,0,1,0,1,0
703,tu khup hardworking dista ahes,0,0,0,0,0,0
704,kutta kya karta hai,1,0,1,0,1,0
705,mi tujhya sobat khup time ghala,0,0,0,0,0,0
706,bhenchod kya karta hai,1,1,1,0,1,0
707,tu maza role model dista ahes,0,0,0,0,0,0
708,madarchod kya karta hai,1,1,1,0,1,0
709,aaj khup chan vatatay na?,0,0,0,0,0,0
710,gandu kya karta hai,1,0,1,0,1,0
711,tu khup talented dista ahes,0,0,0,0,0,0
712,chutiya kya karta hai,1,0,1,0,1,0
713,mi tujhya sobat khup majja karto,0,0,0,0,0,0
714,pagal kya karta hai,1,0,0,0,1,0
715,tu khup sundar dista ahes,0,0,0,0,0,0
716,abe kutta kya karta hai,1,0,1,0,1,0
717,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
718,harami kya karta hai,1,0,1,0,1,0
719,tu maza favorite dost dista ahes,0,0,0,0,0,0
720,bakchod kya karta hai,1,0,1,0,1,0
721,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
722,abe gandu kya karta hai,1,0,1,0,1,0
723,tu kasa dista ahes aaj?,0,0,0,0,0,0
724,ye chutiya kya karta hai,1,0,1,0,1,0
725,aaj khup chan hava vatatay,0,0,0,0,0,0
726,pagal kya karta hai,1,0,0,0,1,0
727,tu maza khup chan friend dista ahes,0,0,0,0,0,0
728,harami kya karta hai,1,0,1,0,1,0
729,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
730,kutta kya karta hai,1,0,1,0,1,0
731,tu khup mast manus dista ahes,0,0,0,0,0,0
732,abe randi kya karta hai,1,1,1,0,1,1
733,tu khup smart dista ahes,0,0,0,0,0,0
734,bakchod kya karta hai,1,0,1,0,1,0
735,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
736,gandu kya karta hai,1,0,1,0,1,0
737,aaj khup sundar divas ahe,0,0,0,0,0,0
738,chutiya kya karta hai,1,0,1,0,1,0
739,tu maza best friend dista ahes,0,0,0,0,0,0
740,pagal kya karta hai,1,0,0,0,1,0
741,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
742,abe harami kya karta hai,1,0,1,0,1,0
743,tu khup hardworking dista ahes,0,0,0,0,0,0
744,kutta kya karta hai,1,0,1,0,1,0
745,mi tujhya sobat khup time ghala,0,0,0,0,0,0
746,bhenchod kya karta hai,1,1,1,0,1,0
747,tu maza role model dista ahes,0,0,0,0,0,0
748,madarchod kya karta hai,1,1,1,0,1,0
749,aaj khup chan vatatay na?,0,0,0,0,0,0
750,gandu kya karta hai,1,0,1,0,1,0
751,tu khup talented dista ahes,0,0,0,0,0,0
752,chutiya kya karta hai,1,0,1,0,1,0
753,mi tujhya sobat khup majja karto,0,0,0,0,0,0
754,pagal kya karta hai,1,0,0,0,1,0
755,tu khup sundar dista ahes,0,0,0,0,0,0
756,abe kutta kya karta hai,1,0,1,0,1,0
757,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
758,harami kya karta hai,1,0,1,0,1,0
759,tu maza favorite dost dista ahes,0,0,0,0,0,0
760,bakchod kya karta hai,1,0,1,0,1,0
761,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
762,abe gandu kya karta hai,1,0,1,0,1,0
763,tu kasa dista ahes aaj?,0,0,0,0,0,0
764,ye chutiya kya karta hai,1,0,1,0,1,0
765,aaj khup chan hava vatatay,0,0,0,0,0,0
766,pagal kya karta hai,1,0,0,0,1,0
767,tu maza khup chan friend dista ahes,0,0,0,0,0,0
768,harami kya karta hai,1,0,1,0,1,0
769,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
770,kutta kya karta hai,1,0,1,0,1,0
771,tu khup mast manus dista ahes,0,0,0,0,0,0
772,abe randi kya karta hai,1,1,1,0,1,1
773,tu khup smart dista ahes,0,0,0,0,0,0
774,bakchod kya karta hai,1,0,1,0,1,0
775,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
776,gandu kya karta hai,1,0,1,0,1,0
777,aaj khup sundar divas ahe,0,0,0,0,0,0
778,chutiya kya karta hai,1,0,1,0,1,0
779,tu maza best friend dista ahes,0,0,0,0,0,0
780,pagal kya karta hai,1,0,0,0,1,0
781,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
782,abe harami kya karta hai,1,0,1,0,1,0
783,tu khup hardworking dista ahes,0,0,0,0,0,0
784,kutta kya karta hai,1,0,1,0,1,0
785,mi tujhya sobat khup time ghala,0,0,0,0,0,0
786,bhenchod kya karta hai,1,1,1,0,1,0
787,tu maza role model dista ahes,0,0,0,0,0,0
788,madarchod kya karta hai,1,1,1,0,1,0
789,aaj khup chan vatatay na?,0,0,0,0,0,0
790,gandu kya karta hai,1,0,1,0,1,0
791,tu khup talented dista ahes,0,0,0,0,0,0
792,chutiya kya karta hai,1,0,1,0,1,0
793,mi tujhya sobat khup majja karto,0,0,0,0,0,0
794,pagal kya karta hai,1,0,0,0,1,0
795,tu khup sundar dista ahes,0,0,0,0,0,0
796,abe kutta kya karta hai,1,0,1,0,1,0
797,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
798,harami kya karta hai,1,0,1,0,1,0
799,tu maza favorite dost dista ahes,0,0,0,0,0,0
800,bakchod kya karta hai,1,0,1,0,1,0
801,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
802,abe gandu kya karta hai,1,0,1,0,1,0
803,tu kasa dista ahes aaj?,0,0,0,0,0,0
804,ye chutiya kya karta hai,1,0,1,0,1,0
805,aaj khup chan hava vatatay,0,0,0,0,0,0
806,pagal kya karta hai,1,0,0,0,1,0
807,tu maza khup chan friend dista ahes,0,0,0,0,0,0
808,harami kya karta hai,1,0,1,0,1,0
809,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
810,kutta kya karta hai,1,0,1,0,1,0
811,tu khup mast manus dista ahes,0,0,0,0,0,0
812,abe randi kya karta hai,1,1,1,0,1,1
813,tu khup smart dista ahes,0,0,0,0,0,0
814,bakchod kya karta hai,1,0,1,0,1,0
815,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
816,gandu kya karta hai,1,0,1,0,1,0
817,aaj khup sundar divas ahe,0,0,0,0,0,0
818,chutiya kya karta hai,1,0,1,0,1,0
819,tu maza best friend dista ahes,0,0,0,0,0,0
820,pagal kya karta hai,1,0,0,0,1,0
821,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
822,abe harami kya karta hai,1,0,1,0,1,0
823,tu khup hardworking dista ahes,0,0,0,0,0,0
824,kutta kya karta hai,1,0,1,0,1,0
825,mi tujhya sobat khup time ghala,0,0,0,0,0,0
826,bhenchod kya karta hai,1,1,1,0,1,0
827,tu maza role model dista ahes,0,0,0,0,0,0
828,madarchod kya karta hai,1,1,1,0,1,0
829,aaj khup chan vatatay na?,0,0,0,0,0,0
830,gandu kya karta hai,1,0,1,0,1,0
831,tu khup talented dista ahes,0,0,0,0,0,0
832,chutiya kya karta hai,1,0,1,0,1,0
833,mi tujhya sobat khup majja karto,0,0,0,0,0,0
834,pagal kya karta hai,1,0,0,0,1,0
835,tu khup sundar dista ahes,0,0,0,0,0,0
836,abe kutta kya karta hai,1,0,1,0,1,0
837,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
838,harami kya karta hai,1,0,1,0,1,0
839,tu maza favorite dost dista ahes,0,0,0,0,0,0
840,bakchod kya karta hai,1,0,1,0,1,0
841,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
842,abe gandu kya karta hai,1,0,1,0,1,0
843,tu kasa dista ahes aaj?,0,0,0,0,0,0
844,ye chutiya kya karta hai,1,0,1,0,1,0
845,aaj khup chan hava vatatay,0,0,0,0,0,0
846,pagal kya karta hai,1,0,0,0,1,0
847,tu maza khup chan friend dista ahes,0,0,0,0,0,0
848,harami kya karta hai,1,0,1,0,1,0
849,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
850,kutta kya karta hai,1,0,1,0,1,0
851,tu khup mast manus dista ahes,0,0,0,0,0,0
852,abe randi kya karta hai,1,1,1,0,1,1
853,tu khup smart dista ahes,0,0,0,0,0,0
854,bakchod kya karta hai,1,0,1,0,1,0
855,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
856,gandu kya karta hai,1,0,1,0,1,0
857,aaj khup sundar divas ahe,0,0,0,0,0,0
858,chutiya kya karta hai,1,0,1,0,1,0
859,tu maza best friend dista ahes,0,0,0,0,0,0
860,pagal kya karta hai,1,0,0,0,1,0
861,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
862,abe harami kya karta hai,1,0,1,0,1,0
863,tu khup hardworking dista ahes,0,0,0,0,0,0
864,kutta kya karta hai,1,0,1,0,1,0
865,mi tujhya sobat khup time ghala,0,0,0,0,0,0
866,bhenchod kya karta hai,1,1,1,0,1,0
867,tu maza role model dista ahes,0,0,0,0,0,0
868,madarchod kya karta hai,1,1,1,0,1,0
869,aaj khup chan vatatay na?,0,0,0,0,0,0
870,gandu kya karta hai,1,0,1,0,1,0
871,tu khup talented dista ahes,0,0,0,0,0,0
872,chutiya kya karta hai,1,0,1,0,1,0
873,mi tujhya sobat khup majja karto,0,0,0,0,0,0
874,pagal kya karta hai,1,0,0,0,1,0
875,tu khup sundar dista ahes,0,0,0,0,0,0
876,abe kutta kya karta hai,1,0,1,0,1,0
877,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
878,harami kya karta hai,1,0,1,0,1,0
879,tu maza favorite dost dista ahes,0,0,0,0,0,0
880,bakchod kya karta hai,1,0,1,0,1,0
881,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
882,abe gandu kya karta hai,1,0,1,0,1,0
883,tu kasa dista ahes aaj?,0,0,0,0,0,0
884,ye chutiya kya karta hai,1,0,1,0,1,0
885,aaj khup chan hava vatatay,0,0,0,0,0,0
886,pagal kya karta hai,1,0,0,0,1,0
887,tu maza khup chan friend dista ahes,0,0,0,0,0,0
888,harami kya karta hai,1,0,1,0,1,0
889,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
890,kutta kya karta hai,1,0,1,0,1,0
891,tu khup mast manus dista ahes,0,0,0,0,0,0
892,abe randi kya karta hai,1,1,1,0,1,1
893,tu khup smart dista ahes,0,0,0,0,0,0
894,bakchod kya karta hai,1,0,1,0,1,0
895,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
896,gandu kya karta hai,1,0,1,0,1,0
897,aaj khup sundar divas ahe,0,0,0,0,0,0
898,chutiya kya karta hai,1,0,1,0,1,0
899,tu maza best friend dista ahes,0,0,0,0,0,0
900,pagal kya karta hai,1,0,0,0,1,0
901,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
902,abe harami kya karta hai,1,0,1,0,1,0
903,tu khup hardworking dista ahes,0,0,0,0,0,0
904,kutta kya karta hai,1,0,1,0,1,0
905,mi tujhya sobat khup time ghala,0,0,0,0,0,0
906,bhenchod kya karta hai,1,1,1,0,1,0
907,tu maza role model dista ahes,0,0,0,0,0,0
908,madarchod kya karta hai,1,1,1,0,1,0
909,aaj khup chan vatatay na?,0,0,0,0,0,0
910,gandu kya karta hai,1,0,1,0,1,0
911,tu khup talented dista ahes,0,0,0,0,0,0
912,chutiya kya karta hai,1,0,1,0,1,0
913,mi tujhya sobat khup majja karto,0,0,0,0,0,0
914,pagal kya karta hai,1,0,0,0,1,0
915,tu khup sundar dista ahes,0,0,0,0,0,0
916,abe kutta kya karta hai,1,0,1,0,1,0
917,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
918,harami kya karta hai,1,0,1,0,1,0
919,tu maza favorite dost dista ahes,0,0,0,0,0,0
920,bakchod kya karta hai,1,0,1,0,1,0
921,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
922,abe gandu kya karta hai,1,0,1,0,1,0
923,tu kasa dista ahes aaj?,0,0,0,0,0,0
924,ye chutiya kya karta hai,1,0,1,0,1,0
925,aaj khup chan hava vatatay,0,0,0,0,0,0
926,pagal kya karta hai,1,0,0,0,1,0
927,tu maza khup chan friend dista ahes,0,0,0,0,0,0
928,harami kya karta hai,1,0,1,0,1,0
929,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
930,kutta kya karta hai,1,0,1,0,1,0
931,tu khup mast manus dista ahes,0,0,0,0,0,0
932,abe randi kya karta hai,1,1,1,0,1,1
933,tu khup smart dista ahes,0,0,0,0,0,0
934,bakchod kya karta hai,1,0,1,0,1,0
935,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
936,gandu kya karta hai,1,0,1,0,1,0
937,aaj khup sundar divas ahe,0,0,0,0,0,0
938,chutiya kya karta hai,1,0,1,0,1,0
939,tu maza best friend dista ahes,0,0,0,0,0,0
940,pagal kya karta hai,1,0,0,0,1,0
941,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
942,abe harami kya karta hai,1,0,1,0,1,0
943,tu khup hardworking dista ahes,0,0,0,0,0,0
944,kutta kya karta hai,1,0,1,0,1,0
945,mi tujhya sobat khup time ghala,0,0,0,0,0,0
946,bhenchod kya karta hai,1,1,1,0,1,0
947,tu maza role model dista ahes,0,0,0,0,0,0
948,madarchod kya karta hai,1,1,1,0,1,0
949,aaj khup chan vatatay na?,0,0,0,0,0,0
950,gandu kya karta hai,1,0,1,0,1,0
951,tu khup talented dista ahes,0,0,0,0,0,0
952,chutiya kya karta hai,1,0,1,0,1,0
953,mi tujhya sobat khup majja karto,0,0,0,0,0,0
954,pagal kya karta hai,1,0,0,0,1,0
955,tu khup sundar dista ahes,0,0,0,0,0,0
956,abe kutta kya karta hai,1,0,1,0,1,0
957,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
958,harami kya karta hai,1,0,1,0,1,0
959,tu maza favorite dost dista ahes,0,0,0,0,0,0
960,bakchod kya karta hai,1,0,1,0,1,0
961,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
962,abe gandu kya karta hai,1,0,1,0,1,0
963,tu kasa dista ahes aaj?,0,0,0,0,0,0
964,ye chutiya kya karta hai,1,0,1,0,1,0
965,aaj khup chan hava vatatay,0,0,0,0,0,0
966,pagal kya karta hai,1,0,0,0,1,0
967,tu maza khup chan friend dista ahes,0,0,0,0,0,0
968,harami kya karta hai,1,0,1,0,1,0
969,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
970,kutta kya karta hai,1,0,1,0,1,0
971,tu khup mast manus dista ahes,0,0,0,0,0,0
972,abe randi kya karta hai,1,1,1,0,1,1
973,tu khup smart dista ahes,0,0,0,0,0,0
974,bakchod kya karta hai,1,0,1,0,1,0
975,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
976,gandu kya karta hai,1,0,1,0,1,0
977,aaj khup sundar divas ahe,0,0,0,0,0,0
978,chutiya kya karta hai,1,0,1,0,1,0
979,tu maza best friend dista ahes,0,0,0,0,0,0
980,pagal kya karta hai,1,0,0,0,1,0
981,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
982,abe harami kya karta hai,1,0,1,0,1,0
983,tu khup hardworking dista ahes,0,0,0,0,0,0
984,kutta kya karta hai,1,0,1,0,1,0
985,mi tujhya sobat khup time ghala,0,0,0,0,0,0
986,bhenchod kya karta hai,1,1,1,0,1,0
987,tu maza role model dista ahes,0,0,0,0,0,0
988,madarchod kya karta hai,1,1,1,0,1,0
989,aaj khup chan vatatay na?,0,0,0,0,0,0
990,gandu kya karta hai,1,0,1,0,1,0
991,tu khup talented dista ahes,0,0,0,0,0,0
992,chutiya kya karta hai,1,0,1,0,1,0
993,mi tujhya sobat khup majja karto,0,0,0,0,0,0
994,pagal kya karta hai,1,0,0,0,1,0
995,tu khup sundar dista ahes,0,0,0,0,0,0
996,abe kutta kya karta hai,1,0,1,0,1,0
997,mi tujhya sobat khup enjoy kela,0,0,0,0,0,0
998,harami kya karta hai,1,0,1,0,1,0
999,tu maza favorite dost dista ahes,0,0,0,0,0,0
1000,bakchod kya karta hai,1,0,1,0,1,0
1001,mi tujhya sobat khup khush ahe,0,0,0,0,0,0
1002,abe gandu kya karta hai,1,0,1,0,1,0
1003,tu kasa dista ahes aaj?,0,0,0,0,0,0
1004,ye chutiya kya karta hai,1,0,1,0,1,0
1005,aaj khup chan hava vatatay,0,0,0,0,0,0
1006,pagal kya karta hai,1,0,0,0,1,0
1007,tu maza khup chan friend dista ahes,0,0,0,0,0,0
1008,harami kya karta hai,1,0,1,0,1,0
1009,mi tujhya sobat khup time pass kela,0,0,0,0,0,0
1010,kutta kya karta hai,1,0,1,0,1,0
1011,tu khup mast dista ahes,0,0,0,0,0,0
1012,abe randi kya karta hai,1,1,1,0,1,1
1013,tu khup smart dista ahes,0,0,0,0,0,0
1014,bakchod kya karta hai,1,0,1,0,1,0
1015,mi tujhya sobat khup enjoy karto,0,0,0,0,0,0
1016,gandu kya karta hai,1,0,1,0,1,0
1017,aaj khup sundar divas ahe,0,0,0,0,0,0
1018,chutiya kya karta hai,1,0,1,0,1,0
1019,tu maza best friend dista ahes,0,0,0,0,0,0
1020,pagal kya karta hai,1,0,0,0,1,0
1021,mi tujhya sobat khup khush hoto,0,0,0,0,0,0
1022,abe harami kya karta hai,1,0,1,0,1,0
1023,tu khup hardworking dista ahes,0,0,0,0,0,0
1024,kutta kya karta hai,1,0,1,0,1,0
1025,mi tujhya sobat khup time ghala,0,0,0,0,0,0
1026,bhenchod kya karta hai,1,1,1,0,1,0
1027,tu maza role model dista ahes,0,0,0,0,0,0
1028,madarchod kya karta hai,1,1,1,0,1,0
1029,aaj khup chan vatatay na?,0,0,0,0,0,0
1030,gandu kya karta hai,1,0,1,0,1,0
1031,tu khup talented dista ahes,0,0,0,0,0,0
1032,chutiya kya karta hai,1,0,1,0,1,0
1033,mi tujhya sobat khup majja karto,0,0,0,0,0,0
1034,pagal kya karta hai,1,0,0,0,1,0
1035,tu khup sundar dista ahes,0,0,0,0,0,0
1036,abe kutta kya karta hai,1,0,1,0,1,1
1036,are murkha,1,0,1,1,1,1
